filename,Mouse ,Day ,Treatment,Pre-Post,Peak_colitis,Days_Post_DSS
C1_11,C1,11,control,post,no,2
C2_11,C2,11,control,post,no,2
C3_11,C3,11,control,post,no,2
D1_11,D1,11,colitis,post,no,2
C1_14,C1,14,control,post,no,5
C2_14,C2,14,control,post,no,5
C3_14,C3,14,control,post,no,5
C1_16,C1,16,control,post,no,7
C2_16,C2,16,control,post,no,7
C3_16,C3,16,control,post,no,7
D1_16,D1,16,colitis,post,yes,7
D2_16,D2,16,colitis,post,yes,7
D3_16,D3,16,colitis,post,yes,7
C1_17,C1,17,control,post,no,8
C2_17,C2,17,control,post,no,8
C3_17,C3,17,control,post,no,8
D1_17,D1,17,colitis,post,yes,8
D2_17,D2,17,colitis,post,yes,8
D3_17,D3,17,colitis,post,yes,8
C1_18,C1,18,control,post,no,9
C2_18,C2,18,control,post,no,9
C3_18,C3,18,control,post,no,9
D1_18,D1,18,colitis,post,yes,9
D2_18,D2,18,colitis,post,yes,9
D3_18,D3,18,colitis,post,yes,9
C1_21,C1,21,control,post,no,12
C2_21,C2,21,control,post,no,12
C3_21,C3,21,control,post,no,12
D1_21,D1,21,colitis,post,no,12
D2_21,D2,21,colitis,post,no,12
D3_21,D3,21,colitis,post,no,12
C1_28,C1,28,control,post,no,19
C2_28,C2,28,control,post,no,19
C3_28,C3,28,control,post,no,19
D1_28,D1,28,colitis,post,no,19
D2_28,D2,28,colitis,post,no,19
D3_28,D3,28,colitis,post,no,19
C1_4,C1,4,control,pre,no,-5
C2_4,C2,4,control,pre,no,-5
C3_4,C3,4,control,pre,no,-5
D1_4,D1,4,colitis,pre,no,-5
D2_4,D2,4,colitis,pre,no,-5
D3_4,D3,4,colitis,pre,no,-5
C1_9,C1,9,control,pre,no,0
C2_9,C2,9,control,pre,no,0
C3_9,C3,9,control,pre,no,0
D1_9,D1,9,colitis,pre,no,0
D2_9,D2,9,colitis,pre,no,0
D3_9,D3,9,colitis,pre,no,0
