	Virulent	Temperate
C3032_k119_198506_flag=1_multi=17.9940_len=56594_fragment_1	0.072522026	0.927477974
C3009_k119_37126_flag=0_multi=331.1195_len=24516	0.9875	0.0125
P6024_k119_550_flag=1_multi=7.0000_len=7986	0	1
H4043_k119_86747_flag=1_multi=16.0000_len=29170_fragment_1	0.482512815	0.517487185
C3015_k119_88057_flag=0_multi=880.5108_len=72079_fragment_1	0.2375	0.7625
M2047_k119_89178_flag=0_multi=35.9724_len=25517	0.975	0.025
C3021_k119_128687_flag=1_multi=11.9811_len=32796	0.0125	0.9875
C3004_k119_150425_flag=1_multi=30.9932_len=132077_fragment_1	0.882544053	0.117455947
H4040_k119_71114_flag=1_multi=43.4148_len=22605	0	1
M2014_k119_126040_flag=0_multi=103.9891_len=376548_fragment_1	0.949505277	0.050494723
H4023_k119_69876_flag=0_multi=240.8412_len=60573_fragment_1	0.8625	0.1375
H4010_k119_84054_flag=0_multi=63.8576_len=53454	0.075	0.925
C3003_k119_79533_flag=0_multi=685.5141_len=203117_fragment_1	0	1
C3006_k119_56563_flag=1_multi=17.9731_len=36136	0.05	0.95
M2085_k119_106861_flag=0_multi=50.3342_len=43616	0.8	0.2
M2077_k119_17019_flag=0_multi=104.4184_len=69158_fragment_1	0	1
M2083_k119_55320_flag=1_multi=54.0000_len=39516	0.0375	0.9625
C3027_k119_59_flag=1_multi=360.9033_len=74602_fragment_1	0.672522026	0.327477974
C3010_k119_4817_flag=1_multi=62.2699_len=43028	0.75	0.25
C3005_k119_168933_flag=1_multi=5.0000_len=3656	0.819312122	0.180687878
H4035_k119_109952_flag=3_multi=18.8929_len=6662	0.811878202	0.188121798
C3004_k119_29445_flag=0_multi=44.9873_len=69523_fragment_2	0.3125	0.6875
C3032_k119_111196_flag=0_multi=72.2681_len=33819	0.728028634	0.271971366
M2077_k119_6805_flag=1_multi=174.0000_len=16425	0.934641659	0.065358341
C3022_k119_4062_flag=1_multi=29.9607_len=4547	0.811878202	0.188121798
M2008_k119_34638_flag=1_multi=9.9925_len=24194	0.1	0.9
M2077_k119_36303_flag=1_multi=12.0000_len=20618	0.811878202	0.188121798
M2008_k119_30147_flag=0_multi=44.9704_len=29879	0.657544053	0.342455947
M2042_k119_297190_flag=1_multi=15.0000_len=26358	0.974505277	0.025494723
H4027_k119_11415_flag=1_multi=17.9875_len=28708_fragment_1	0.999505277	0.000494723
H4004_k119_87283_flag=0_multi=21.9775_len=18750	0.931779094	0.068220906
M2027_k119_68552_flag=0_multi=23.9916_len=55110	0	1
M2014_k119_92265_flag=0_multi=21.9619_len=35191	0.025	0.975
C3029_k119_11370_flag=0_multi=110.9483_len=42680_fragment_1	0.075	0.925
E5009_k119_83158_flag=1_multi=9.0000_len=3092	0.811878202	0.188121798
M2077_k119_788_flag=1_multi=939.0000_len=12953	0.894899092	0.105100908
H4022_k119_58717_flag=1_multi=122.0000_len=28575	0.939213015	0.060786985
M2041_k119_63690_flag=0_multi=38.8759_len=101139	0.1	0.9
C3023_k119_116180_flag=1_multi=20.0000_len=15681	0.859489252	0.140510748
C3031_k119_101125_flag=1_multi=27.0000_len=33923	0.782544053	0.217455947
M2064_k119_123288_flag=1_multi=72.9758_len=17995	0.96723252	0.03276748
M2034_k119_145072_flag=0_multi=522.5763_len=24759	0.8	0.2
M2008_k119_10720_flag=1_multi=28.0000_len=43213	0.836817311	0.163182689
M2083_k119_23628_flag=1_multi=293.8875_len=52193_fragment_1	0.973088282	0.026911718
M2039_k119_34790_flag=3_multi=49.7086_len=6844	0.811878202	0.188121798
P6005_k119_38737_flag=0_multi=27.9880_len=45105	0	1
E5013_k119_5144_flag=1_multi=51.9197_len=61074_fragment_2	0.05	0.95
C3011_k119_3712_flag=1_multi=1015.7207_len=72796	0.0375	0.9625
H4020_k119_72580_flag=1_multi=13.9908_len=55382	1	0
M2103_k119_151351_flag=1_multi=20.5730_len=39515	0.8875	0.1125
P6025_k119_51373_flag=1_multi=13.0000_len=27859	0	1
M2014_k119_11518_flag=0_multi=57.9512_len=23502	0.920786903	0.079213097
M2072_k119_25313_flag=0_multi=77.0000_len=36472	0.1	0.9
H4045_k119_17775_flag=0_multi=51.6980_len=63351_fragment_1	0	1
C3015_k119_155066_flag=3_multi=119.0026_len=45845	0.0125	0.9875
P6014_k119_8381_flag=1_multi=9.0000_len=3120	0.811878202	0.188121798
M2042_k119_162937_flag=0_multi=41.9874_len=65194	0	1
H4014_k119_100065_flag=1_multi=17.0000_len=17751	1	0
H4019_k119_65148_flag=0_multi=34.0000_len=20464	0.0875	0.9125
M2042_k119_35592_flag=0_multi=93.6758_len=37701	0.864658235	0.135341765
P6010_k119_2661_flag=0_multi=63.8904_len=23104	0.996324369	0.003675631
H4038_k119_26623_flag=1_multi=20.0000_len=24876	0.855066079	0.144933921
C3022_k119_35778_flag=1_multi=53.0000_len=19584	0.0125	0.9875
C3031_k119_57645_flag=0_multi=481.7644_len=40957	0.925	0.075
H4030_k119_98706_flag=1_multi=12.0000_len=5188	0.973161795	0.026838205
H4022_k119_8481_flag=1_multi=54.8145_len=43491_fragment_1	0.0375	0.9625
M2068_k119_222379_flag=3_multi=45.0080_len=5773	0.811878202	0.188121798
M2048_k119_91941_flag=0_multi=110.9838_len=135723	0.925	0.075
M2047_k119_142864_flag=0_multi=129.0995_len=38818	0.0125	0.9875
H4006_k119_242252_flag=0_multi=29.9058_len=12431	0.811878202	0.188121798
C3013_k119_69590_flag=3_multi=78.0000_len=52913	0.0125	0.9875
M2084_k119_62163_flag=1_multi=51.0000_len=49404_fragment_1	0.025	0.975
H4039_k119_84250_flag=1_multi=18.9937_len=60319	0.1625	0.8375
M2072_k119_88680_flag=0_multi=46.2139_len=18503	1	0
C3035_k119_90557_flag=0_multi=105.9879_len=174374_fragment_1	0.899446177	0.100553823
M2103_k119_233499_flag=1_multi=20.0000_len=44265	0	1
M2042_k119_5107_flag=0_multi=300.9554_len=134783	0.05	0.95
M2025_k119_60148_flag=1_multi=4193.0000_len=12877	0.781812122	0.218187878
M2075_k119_10_flag=0_multi=29.0007_len=27084	0.817566079	0.182433921
M2064_k119_256306_flag=0_multi=77.0000_len=102132_fragment_1	0.925	0.075
H4027_k119_57038_flag=0_multi=196.8846_len=69731	0.05	0.95
M2014_k119_104313_flag=0_multi=271.8747_len=43373	0	1
C3004_k119_92349_flag=3_multi=1877.0000_len=155324	0.987005277	0.012994723
