	Virulent	Temperate
668_k79_49734_flag=1_multi=5.0000_len=3612	0.8118782016546146	0.1881217983453865
663_k79_333932_flag=1_multi=13.6823_len=4417	0.8992103416003744	0.10078965839962564
666_k79_47661_flag=0_multi=11.8931_len=21152	0.9875	0.0125
665_k141_119009_flag=0_multi=21.8212_len=80104_fragment_1	0.025	0.975
665_k141_49099_flag=1_multi=13.9031_len=10072	0.0125	0.9875
663_k79_333263_flag=0_multi=50.0919_len=63253	0.0	1.0
665_k141_137003_flag=0_multi=83.1610_len=15178	0.15	0.85
663_k79_35517_flag=0_multi=16.0654_len=31803	0.0625	0.9375
665_k141_115750_flag=1_multi=15.8883_len=3229	0.0	1.0
667_k79_252532_flag=1_multi=21.9897_len=40714	0.5375	0.4625
665_k141_34878_flag=1_multi=23.9721_len=33063	0.075	0.925
667_k79_38949_flag=0_multi=10.3844_len=23499	1.0	0.0
667_k79_242455_flag=1_multi=7.8822_len=28707	0.7125	0.2875
665_k141_1224_flag=0_multi=46.9958_len=3494	0.8490152516760286	0.15098474832397196
667_k79_83711_flag=0_multi=12.4520_len=19829	1.0	0.0
669_k79_106440_flag=1_multi=8.0000_len=8909	0.0625	0.9375
669_k79_345236_flag=1_multi=11.9488_len=18573	0.9677863436123347	0.0322136563876652
663_k79_343075_flag=0_multi=13.9923_len=101675_fragment_1	0.0	1.0
663_k79_122520_flag=0_multi=19.0000_len=63707	0.6	0.4
668_k79_54431_flag=0_multi=12.9589_len=28406	0.0125	0.9875
669_k79_216260_flag=0_multi=12.0303_len=51630_fragment_1	0.1625	0.8375
667_k79_294625_flag=0_multi=26.9486_len=36915	0.05	0.95
665_k141_120118_flag=1_multi=33.0000_len=32738	0.025	0.975
668_k79_54722_flag=0_multi=23.9507_len=49429	0.7625	0.2375
665_k141_110833_flag=1_multi=16.0000_len=14396	0.8118782016546146	0.1881217983453865
669_k79_292580_flag=0_multi=55.9095_len=24398	0.9525881057268721	0.04741189427312775
663_k79_133590_flag=0_multi=16.7954_len=73933	0.0	1.0
668_k79_254376_flag=0_multi=9.9449_len=23657	0.0	1.0
663_k79_120522_flag=0_multi=14.9887_len=24892	0.9375	0.0625
663_k79_243021_flag=0_multi=10.9934_len=65024	0.9676762114537443	0.032323788546255505
663_k79_197717_flag=0_multi=25.8827_len=94547	0.85	0.15
669_k79_1947_flag=1_multi=4.0000_len=3237	0.05	0.95
667_k79_230293_flag=0_multi=32.4753_len=7310	0.1375	0.8625
663_k79_216245_flag=0_multi=18.9539_len=32063	0.0375	0.9625
667_k79_276781_flag=1_multi=14.0000_len=27003	0.225	0.775
665_k141_5179_flag=0_multi=15.0000_len=34285	0.0	1.0
667_k79_127335_flag=1_multi=4.0000_len=2240	0.8118782016546146	0.1881217983453865
666_k79_100489_flag=0_multi=140.5548_len=3444	1.0	0.0
667_k79_25742_flag=0_multi=79.9467_len=29725	0.0375	0.9625
665_k141_195224_flag=0_multi=12.8211_len=9964	0.8845603315797836	0.11543966842021684
665_k141_78222_flag=1_multi=11.0000_len=31249	0.025	0.975
669_k79_100653_flag=1_multi=12.0000_len=31477	0.6875	0.3125
667_k79_184960_flag=0_multi=125.6753_len=27051	0.8375	0.1625
