"","x"
"1","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"2","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"3","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"4","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"5","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"6","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"7","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"8","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"9","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"10","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"11","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"12","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"13","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"14","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"15","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"16","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"17","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"18","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"19","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"20","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"21","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"22","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"23","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"24","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"25","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"26","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"27","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"28","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"29","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"30","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"31","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"32","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"33","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"34","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"35","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"36","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"37","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"38","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"39","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"40","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"41","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"42","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"43","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"44","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"45","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"46","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
